epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,134.953,1.35213,1.90175,2.20244,1.27182,0,0.69094,0.36369,0.45032,0.27373,0.52456,0.26077,0.26258,0.08879,1.38107,1.80087,2.4822,1.28844,0,0.000656863,0.000656863,0.000656863
2,237.134,1.38282,1.39684,1.70945,1.25431,0,0.28066,0.38083,0.21959,0.09855,0.17738,0.2488,0.0961,0.02739,1.98017,1.8657,2.94787,2.12359,0,0.00131043,0.00131043,0.00131043
3,338.369,1.41771,1.41467,1.61373,1.27927,0,0.64929,0.39952,0.44085,0.24439,0.64838,0.33967,0.35334,0.1236,1.66359,1.40355,2.24821,1.55584,0,0.00195079,0.00195079,0.00195079
4,434.418,1.39413,1.35411,1.52588,1.27165,0,0.4674,0.4367,0.35736,0.17885,0.35091,0.34274,0.20309,0.06391,1.73385,1.56033,2.06772,1.62486,0,0.0019406,0.0019406,0.0019406
5,530.291,1.38609,1.35943,1.41231,1.2558,0,0.58164,0.50555,0.45063,0.26102,0.49415,0.42105,0.32357,0.10381,1.5822,1.42493,1.86052,1.4782,0,0.0019208,0.0019208,0.0019208
6,589.71,1.332,1.37889,1.33736,1.23381,0,0.69688,0.44258,0.52912,0.31577,0.60716,0.3445,0.36395,0.12421,1.49099,1.39435,1.73606,1.41199,0,0.001901,0.001901,0.001901
7,620.964,1.30414,1.34315,1.30613,1.22844,0,0.56422,0.51196,0.50928,0.29565,0.46495,0.42105,0.35078,0.11569,1.45954,1.30426,1.70005,1.30403,0,0.0018812,0.0018812,0.0018812
8,651.88,1.2234,1.32842,1.2238,1.18122,0,0.6453,0.52392,0.55139,0.32991,0.58607,0.36603,0.37744,0.12763,1.46512,1.36627,1.58456,1.3308,0,0.0018614,0.0018614,0.0018614
9,682.649,1.25131,1.3532,1.24442,1.1984,0,0.61097,0.5786,0.58755,0.37265,0.51338,0.5,0.45778,0.1628,1.31999,1.25708,1.47113,1.26547,0,0.0018416,0.0018416,0.0018416
10,715.243,1.18636,1.27389,1.15942,1.17278,0,0.73631,0.60766,0.61848,0.41308,0.67149,0.55742,0.53237,0.19258,1.25724,1.2133,1.36286,1.22797,0,0.0018218,0.0018218,0.0018218
11,747.899,1.1791,1.26032,1.15741,1.16525,0,0.72528,0.56213,0.60745,0.40319,0.68442,0.48086,0.48594,0.17772,1.25266,1.19265,1.37893,1.23199,0,0.001802,0.001802,0.001802
12,779.265,1.14203,1.31348,1.12051,1.14896,0,0.67273,0.58521,0.60076,0.40109,0.61241,0.48086,0.43677,0.16367,1.27844,1.24782,1.53231,1.20308,0,0.0017822,0.0017822,0.0017822
13,810.675,1.12023,1.25842,1.10519,1.13221,0,0.7237,0.55769,0.59793,0.37728,0.6752,0.47129,0.44942,0.15656,1.32265,1.30765,1.55825,1.26051,0,0.0017624,0.0017624,0.0017624
14,842.999,1.13575,1.30696,1.10121,1.15019,0,0.71033,0.62186,0.63565,0.4129,0.62498,0.54306,0.49486,0.17477,1.24564,1.22319,1.33025,1.18174,0,0.0017426,0.0017426,0.0017426
15,871.097,1.08368,1.28744,1.0624,1.12026,0,0.68233,0.61244,0.60543,0.40248,0.6241,0.50718,0.46853,0.17448,1.23697,1.14463,1.37853,1.17409,0,0.0017228,0.0017228,0.0017228
16,890.52,1.09662,1.27043,1.06191,1.14075,0,0.74488,0.62167,0.64613,0.44215,0.63706,0.52632,0.47773,0.17757,1.19968,1.17706,1.27732,1.19578,0,0.001703,0.001703,0.001703
17,910.156,1.09489,1.28303,1.08521,1.12507,0,0.68028,0.61244,0.6234,0.4041,0.60463,0.53416,0.50172,0.1838,1.22216,1.18364,1.37469,1.18279,0,0.0016832,0.0016832,0.0016832
18,929.568,1.06143,1.27489,1.04466,1.11844,0,0.77707,0.62201,0.66546,0.47024,0.68412,0.54785,0.51862,0.19537,1.14242,1.20593,1.21995,1.14293,0,0.0016634,0.0016634,0.0016634
