epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,211.581,1.49754,1.60466,3.2646,1.61854,0,0.31239,0.34889,0.20038,0.0667,0.20058,0.2488,0.08919,0.0185,2.19777,1.77117,4.48584,2.27672,0,0.000661765,0.000661765,0.000661765
2,268.729,1.50845,1.321,2.40898,1.58335,0,0.37822,0.37321,0.26196,0.09736,0.29939,0.27603,0.15191,0.04039,2.14293,1.41746,2.7658,2.12656,0,0.00132829,0.00132829,0.00132829
3,325.69,1.56138,1.38168,2.03137,1.62715,0,0.34837,0.36603,0.21315,0.09358,0.28705,0.29904,0.13443,0.04038,1.96053,1.34629,2.53829,2.05556,0,0.00199423,0.00199423,0.00199423
4,382.26,1.5031,1.33236,1.77243,1.58721,0,0.55996,0.38278,0.36851,0.137,0.38983,0.27751,0.1677,0.043,2.09196,1.38467,2.04098,2.15498,0,0.00199805,0.00199805,0.00199805
5,438.864,1.47374,1.33318,1.59969,1.5488,0,0.32298,0.39713,0.23176,0.08771,0.22637,0.2823,0.10339,0.02872,2.22033,1.40925,2.59411,2.14125,0,0.00199653,0.00199653,0.00199653
6,495.154,1.41167,1.28692,1.49222,1.52499,0,0.61672,0.38494,0.41885,0.19945,0.53606,0.30383,0.25953,0.07694,1.97587,1.33398,1.93964,1.99561,0,0.00199458,0.00199458,0.00199458
7,550.955,1.40243,1.29744,1.47869,1.52101,0,0.53096,0.46411,0.44501,0.22225,0.47526,0.38038,0.30348,0.09725,1.81443,1.26809,1.83601,1.84246,0,0.00199219,0.00199219,0.00199219
8,606.623,1.32153,1.30108,1.36492,1.47079,0,0.71283,0.41148,0.49094,0.27097,0.58344,0.31818,0.31849,0.10549,1.75064,1.2316,1.76241,1.81127,0,0.00198938,0.00198938,0.00198938
9,662.416,1.31218,1.32292,1.34928,1.45429,0,0.57373,0.4862,0.51255,0.27371,0.62196,0.34689,0.33389,0.10768,1.80381,1.22087,1.69981,1.80728,0,0.00198614,0.00198614,0.00198614
10,718.241,1.29434,1.30895,1.30561,1.44793,0,0.63496,0.42445,0.49261,0.27483,0.56095,0.36842,0.36544,0.12939,1.74681,1.22685,1.74117,1.70974,0,0.00198246,0.00198246,0.00198246
11,773.752,1.24999,1.26087,1.2407,1.40593,0,0.59734,0.52153,0.53396,0.29925,0.61013,0.33014,0.34444,0.10852,1.72139,1.26651,1.65455,1.68063,0,0.00197837,0.00197837,0.00197837
12,856.983,1.22301,1.25162,1.2285,1.3869,0,0.68835,0.40191,0.49747,0.28087,0.57095,0.34689,0.34732,0.1287,1.65028,1.21528,1.72246,1.6319,0,0.00197384,0.00197384,0.00197384
13,954.657,1.1659,1.18974,1.18448,1.35762,0,0.62875,0.51914,0.54928,0.30925,0.55619,0.42823,0.39838,0.12627,1.69691,1.21027,1.54745,1.67046,0,0.0019689,0.0019689,0.0019689
14,1010.29,1.18718,1.25187,1.18046,1.36136,0,0.5582,0.54545,0.56706,0.32451,0.64904,0.35167,0.39984,0.13488,1.63662,1.23362,1.58762,1.64467,0,0.00196353,0.00196353,0.00196353
15,1065.74,1.17128,1.22409,1.16138,1.35364,0,0.57548,0.47998,0.50446,0.29896,0.5014,0.34689,0.31431,0.09734,1.56857,1.31337,1.63159,1.54561,0,0.00195775,0.00195775,0.00195775
16,1121.77,1.171,1.23794,1.15944,1.35554,0,0.67511,0.49282,0.57502,0.32664,0.48022,0.41866,0.36939,0.12449,1.58511,1.22451,1.77123,1.59232,0,0.00195155,0.00195155,0.00195155
17,1178.07,1.14089,1.22814,1.15417,1.33429,0,0.66192,0.53589,0.60179,0.35606,0.69083,0.38517,0.44255,0.1479,1.52076,1.17777,1.46397,1.52081,0,0.00194493,0.00194493,0.00194493
18,1233.33,1.13018,1.21246,1.12332,1.32644,0,0.61201,0.55742,0.5892,0.37371,0.59746,0.44498,0.45504,0.16199,1.4501,1.16949,1.45342,1.45541,0,0.00193791,0.00193791,0.00193791
19,1288.71,1.10991,1.23193,1.10831,1.31684,0,0.55106,0.56938,0.56191,0.32323,0.58031,0.38278,0.37958,0.1247,1.57036,1.15453,1.53011,1.53887,0,0.00193048,0.00193048,0.00193048
20,1344.11,1.13364,1.19891,1.09948,1.30874,0,0.65765,0.53349,0.59012,0.3555,0.54458,0.4377,0.41258,0.1446,1.47191,1.15816,1.48748,1.47141,0,0.00192264,0.00192264,0.00192264
21,1399.51,1.10723,1.19102,1.07812,1.32063,0,0.66054,0.48414,0.54583,0.3288,0.67666,0.36842,0.40295,0.1409,1.59836,1.22844,1.52226,1.5662,0,0.00191441,0.00191441,0.00191441
22,1455.02,1.09505,1.18054,1.09408,1.31388,0,0.61067,0.58539,0.59864,0.36701,0.57235,0.39713,0.41028,0.14284,1.44355,1.1642,1.39044,1.43898,0,0.00190578,0.00190578,0.00190578
23,1510.69,1.05497,1.16641,1.06663,1.27854,0,0.71079,0.46172,0.58877,0.37062,0.65166,0.38038,0.41792,0.15516,1.44081,1.18112,1.4506,1.44061,0,0.00189675,0.00189675,0.00189675
24,1566.18,1.0847,1.18706,1.05644,1.29424,0,0.62005,0.57782,0.60707,0.37564,0.55694,0.51423,0.48177,0.16062,1.43749,1.16988,1.42905,1.46659,0,0.00188734,0.00188734,0.00188734
25,1621.45,1.04585,1.1695,1.01287,1.28022,0,0.61693,0.58612,0.61411,0.3836,0.59844,0.41866,0.42949,0.15022,1.41739,1.14161,1.35834,1.40955,0,0.00187754,0.00187754,0.00187754
26,1677.12,1.04155,1.16858,1.00617,1.26953,0,0.59914,0.61858,0.62173,0.40839,0.71971,0.40191,0.46362,0.16316,1.36541,1.15064,1.36146,1.36795,0,0.00186737,0.00186737,0.00186737
27,1732.55,1.04168,1.19146,1.02496,1.2744,0,0.61414,0.58612,0.60907,0.38467,0.58413,0.47043,0.4535,0.15781,1.40641,1.14108,1.3801,1.41361,0,0.00185681,0.00185681,0.00185681
28,1788.42,1.04922,1.15207,1.0302,1.26342,0,0.62836,0.60526,0.63948,0.40944,0.65955,0.36364,0.40175,0.1501,1.37152,1.17678,1.33918,1.37742,0,0.00184588,0.00184588,0.00184588
29,1843.85,1.03665,1.14632,1.0312,1.26771,0,0.59993,0.61722,0.62004,0.40279,0.5879,0.40191,0.43387,0.15611,1.38103,1.12823,1.3314,1.37911,0,0.00183459,0.00183459,0.00183459
